    n E,keV   unc     isotope cs,b unc   type half-life k0     unc 
   76 1256.64  (16)   xe129 0.027  (6)    p  S         0.00062  (14)
   77 6277.58  (21)   xe129 0.027  (4)    p  S         0.00062  (9)
   78 1263.14  (11)   xe129 0.026  (4)    p  S         0.00060  (9)
   79 1757.26  (9)    xe131 0.026  (4)    p  S         0.00060  (9)
   80 1849.30  (11)   xe129 0.025  (4)    p  S         0.00058  (9)
   81 855.12  (10)    xe129 0.024  (4)    p  S         0.00055  (9)
   82 4945.1  (3)     xe131 0.024  (4)    p  S         0.00055  (9)
   83 5718.52  (24)   xe129 0.024  (4)    p  S         0.00055  (9)
   84 1272.51  (9)    xe129 0.023  (4)    p  S         0.00053  (9)
   85 5245.6  (3)     xe129 0.022  (4)    p  S         0.00051  (9)
   86 686.34  (9)     xe129 0.020  (3)    p  S         0.00046  (7)
   87 2086.51  (23)   xe131 0.019  (3)    p  S         0.00044  (7)
   88 1290.70  (16)   xe131 0.018  (4)    p  S         0.00042  (9)
   89 1920.99  (17)   xe131 0.018  (6)    p  S         0.00042  (14)
   90 2101.51  (13)   xe129 0.018  (3)    p  S         0.00042  (7)
   91 2002.41  (11)   xe131 0.017  (3)    p  S         0.00039  (7)
   92 6067.4  (3)     xe129 0.017  (3)    p  S         0.00039  (7)
   93 5368.32  (21)   xe129 0.0158  (25)  p  S         0.00036  (6)
   94 1966.64  (11)   xe129 0.015  (3)    p  S         0.00035  (7)
   95 313.01  (15)    xe131 0.0149  (19)  p  S         0.00034  (4)
   96 1180.72  (15)   xe129 0.0147  (24)  p  S         0.00034  (6)
   97 5388.40  (23)   xe129 0.0144  (23)  p  S         0.00033  (5)
   98 470.09  (21)    xe129 0.014  (3)    p  S         0.00032  (7)
   99 1380.48  (11)   xe129 0.014  (3)    p  S         0.00032  (7)
  100 1397.34  (21)   xe131 0.0138  (24)  p  S         0.00032  (6)
  101 6529.99  (25)   xe129 0.0126  (20)  p  S         0.00029  (5)
  102 603.92  (15)    xe129 0.011  (3)    p  S         0.00025  (7)
  103 4791.7  (6)     xe131 0.0109  (23)  p  S         0.00025  (5)
  104 967.61  (16)    xe129 0.0108  (19)  p  S         2.5E-04  (4)
  105 403.1  (3)      xe128 0.0106  (23)  p  S         2.4E-04  (5)
  106 1028.18  (10)   xe129 0.0104  (22)  p  S         2.4E-04  (5)
  107 600.99  (8)     xe136 0.010  (3)    p  S         2.3E-04  (7)
  108 5200.1  (7)     xe131 0.010  (3)    p  S         2.3E-04  (7)
  109 5872.4  (6)     xe129 0.010  (3)    p  S         2.3E-04  (7)
  110 5420.0  (3)     xe129 0.0099  (22)  p  S         2.3E-04  (5)
  111 404.8  (3)      xe130 0.0096  (23)  p  S         2.2E-04  (5)
  112 699.80  (20)    xe130 0.0092  (18)  p  S         2.1E-04  (4)
  113 6869.89  (24)   xe129 0.0086  (16)  p  S         2.0E-04  (4)
  114 5065.8  (6)     xe131 0.0085  (19)  p  S         2.0E-04  (4)
  115 4989.9  (5)     xe129 0.0083  (18)  p  S         1.9E-04  (4)
  116 723.29  (14)    xe130 0.0074  (19)  p  S         1.7E-04  (4)
  117 8132.96  (23)   xe129 0.0074  (14)  p  S         1.7E-04  (3)
  118 503.3  (3)      xe130 0.007  (3)    p  S         1.6E-04  (7)
  119 2169.41  (11)   xe131 0.007  (4)    p  S         1.6E-04  (9)
  120 4968.2  (14)    xe129 0.007  (9)    p  S         1.6E-04  (21)
  121 6372.2  (14)    xe129 0.007  (9)    p  S         1.6E-04  (21)
  122 6589.1  (3)     xe129 0.0067  (12)  p  S         1.5E-04  (3)
  123 7013.0  (4)     xe129 0.0059  (11)  p  S         1.36E-04  (25)
  124 6303.8  (7)     xe129 0.0056  (15)  p  S         1.3E-04  (4)
  125 335.46  (16)    xe124 0.0054  (12)  p  S         1.2E-04  (3)
  126 335.46  (16)    xe130 0.0054  (12)  p  S         1.2E-04  (3)
  127 183.32  (15)    xe131 0.0053  (13)  p  S         1.2E-04  (3)
  128 5819.6  (5)     xe129 0.0053  (13)  p  S         1.2E-04  (3)
  129 325.80  (10)    xe130 0.0050  (20)  p  S         1.2E-04  (5)
  130 7462.53  (25)   xe129 0.0049  (9)   p  S         1.13E-04  (21)
  131 3424.49  (6)    xe136 0.0048  (13)  p  S         1.1E-04  (3)
  132 318.18  (0)       xe128 0.0046  (11)  p  S         1.06E-04  (25)
  133 5263.6  (6)     xe129 0.0045  (12)  p  S         1.0E-04  (3)
  134 619.60  (20)    xe130 0.0042  (8)   p  S         9.7E-05  (18)
  135 5038.2  (14)    xe129 0.004  (4)    p  S         9E-05  (9)
  136 5046.2  (14)    xe129 0.004  (4)    p  S         9E-05  (9)
  137 5656.3  (14)    xe129 0.004  (5)    p  S         9E-05  (12)
  138 282.05  (17)    xe128 0.0039  (10)  p  S         9.0E-05  (23)
  139 637.4  (3)      xe130 0.0038  (14)  p  S         9E-05  (3)
  140 455.490  (3)    xe136 0.00350  (6)  d  3.818 m   8.08E-05  (14)
  141 385.18  (7)     xe136 0.0031  (8)   p  S         7.2E-05  (18)
  142 1961.0  (7)     xe129 0.0028  (13)  p  S         6E-05  (3)
  143 6711.4  (5)     xe129 0.0028  (7)   p  S         6.5E-05  (16)
  144 111.3  (8)      xe124 0.0027  (7)   d  56.9 s    6.2E-05  (15)
  145 295.30  (20)    xe130 0.0027  (9)   p  S         6.2E-05  (21)
  146 278.56  (21)    xe128 0.0025  (9)   p  S         5.8E-05  (21)
  147 642.8  (7)      xe130 0.0020  (14)  p  S         5E-05  (3)
